round,accuracy
1,0.475
2,0.7
3,0.7583333333333333
4,0.7666666666666667
5,0.7916666666666666
6,0.7833333333333333
7,0.7333333333333333
8,0.7666666666666667
9,0.7833333333333333
10,0.8
11,0.7916666666666666
12,0.7916666666666666
13,0.8166666666666667
14,0.7833333333333333
15,0.7583333333333333
16,0.65
17,0.7833333333333333
18,0.8083333333333333
19,0.7583333333333333
20,0.8166666666666667
21,0.7916666666666666
22,0.7333333333333333
23,0.7
24,0.8
25,0.8416666666666667
26,0.8416666666666667
27,0.8
28,0.85
29,0.825
30,0.8166666666666667
31,0.6
32,0.7916666666666666
33,0.85
34,0.65
35,0.7666666666666667
36,0.825
37,0.8
38,0.775
39,0.8
40,0.8166666666666667
41,0.8166666666666667
42,0.8083333333333333
43,0.6916666666666667
44,0.7583333333333333
45,0.825
46,0.75
47,0.8166666666666667
48,0.8
49,0.775
50,0.8416666666666667
51,0.85
52,0.7916666666666666
53,0.825
54,0.7916666666666666
55,0.7833333333333333
56,0.8
57,0.8166666666666667
58,0.7916666666666666
59,0.8083333333333333
60,0.8083333333333333
61,0.7833333333333333
62,0.8083333333333333
63,0.7583333333333333
64,0.8083333333333333
65,0.825
66,0.8666666666666667
67,0.8333333333333334
68,0.8333333333333334
69,0.8166666666666667
70,0.8416666666666667
71,0.8333333333333334
72,0.7833333333333333
73,0.85
74,0.8416666666666667
75,0.825
76,0.8166666666666667
77,0.825
78,0.8166666666666667
79,0.8
80,0.85
81,0.7916666666666666
82,0.8083333333333333
83,0.8416666666666667
84,0.7833333333333333
85,0.8
86,0.825
87,0.775
88,0.8416666666666667
89,0.8
90,0.8166666666666667
91,0.7833333333333333
92,0.825
93,0.825
94,0.8416666666666667
95,0.8166666666666667
96,0.825
97,0.8416666666666667
98,0.825
99,0.8333333333333334
100,0.8416666666666667
