round,accuracy
1,0.5416666666666666
2,0.6833333333333333
3,0.7333333333333333
4,0.7583333333333333
5,0.85
6,0.7916666666666666
7,0.7916666666666666
8,0.8083333333333333
9,0.8
10,0.8166666666666667
11,0.7583333333333333
12,0.8333333333333334
13,0.825
14,0.825
15,0.8
16,0.6916666666666667
17,0.825
18,0.8166666666666667
19,0.8
20,0.8166666666666667
21,0.8083333333333333
22,0.7333333333333333
23,0.7333333333333333
24,0.7666666666666667
25,0.825
26,0.8416666666666667
27,0.7583333333333333
28,0.85
29,0.8916666666666667
30,0.8
31,0.6666666666666666
32,0.8333333333333334
33,0.85
34,0.725
35,0.85
36,0.85
37,0.825
38,0.7416666666666667
39,0.775
40,0.8666666666666667
41,0.825
42,0.7916666666666666
43,0.7666666666666667
44,0.8416666666666667
45,0.8666666666666667
46,0.825
47,0.85
48,0.825
49,0.875
50,0.825
51,0.8583333333333333
52,0.8416666666666667
53,0.8583333333333333
54,0.875
55,0.8666666666666667
56,0.8
57,0.8583333333333333
58,0.85
59,0.8166666666666667
60,0.8583333333333333
61,0.8333333333333334
62,0.8666666666666667
63,0.825
64,0.8583333333333333
65,0.85
66,0.8166666666666667
67,0.85
68,0.9
69,0.8416666666666667
70,0.8416666666666667
71,0.8583333333333333
72,0.875
73,0.8666666666666667
74,0.8416666666666667
75,0.85
76,0.8666666666666667
77,0.8666666666666667
78,0.85
79,0.8833333333333333
80,0.8583333333333333
81,0.875
82,0.8583333333333333
83,0.85
84,0.8583333333333333
85,0.85
86,0.85
87,0.8583333333333333
88,0.8416666666666667
89,0.8666666666666667
90,0.875
91,0.8583333333333333
92,0.8833333333333333
93,0.875
94,0.8416666666666667
95,0.8666666666666667
96,0.8916666666666667
97,0.875
98,0.875
99,0.875
100,0.8833333333333333
