round,accuracy
1,0.5166666666666667
2,0.7333333333333333
3,0.725
4,0.65
5,0.7583333333333333
6,0.775
7,0.7083333333333334
8,0.7416666666666667
9,0.7583333333333333
10,0.7583333333333333
11,0.8
12,0.7833333333333333
13,0.825
14,0.7916666666666666
15,0.75
16,0.6166666666666667
17,0.8416666666666667
18,0.825
19,0.7833333333333333
20,0.825
21,0.8333333333333334
22,0.8
23,0.7416666666666667
24,0.7083333333333334
25,0.8416666666666667
26,0.8083333333333333
27,0.7916666666666666
28,0.825
29,0.8333333333333334
30,0.7833333333333333
31,0.6583333333333333
32,0.825
33,0.8166666666666667
34,0.7333333333333333
35,0.8
36,0.85
37,0.775
38,0.65
39,0.775
40,0.8583333333333333
41,0.85
42,0.7833333333333333
43,0.6916666666666667
44,0.8166666666666667
45,0.8416666666666667
46,0.8166666666666667
47,0.7833333333333333
48,0.8416666666666667
49,0.825
50,0.8166666666666667
51,0.85
52,0.8083333333333333
53,0.8
54,0.825
55,0.8166666666666667
56,0.7833333333333333
57,0.825
58,0.7666666666666667
59,0.8
60,0.8
61,0.8083333333333333
62,0.8416666666666667
63,0.8
64,0.85
65,0.8333333333333334
66,0.8166666666666667
67,0.8583333333333333
68,0.8083333333333333
69,0.8333333333333334
70,0.85
71,0.8083333333333333
72,0.8333333333333334
73,0.8333333333333334
74,0.7833333333333333
75,0.8166666666666667
76,0.8416666666666667
77,0.8083333333333333
78,0.8
79,0.8416666666666667
80,0.8083333333333333
81,0.8333333333333334
82,0.8083333333333333
83,0.8166666666666667
84,0.8
85,0.8166666666666667
86,0.8083333333333333
87,0.825
88,0.8333333333333334
89,0.8166666666666667
90,0.8
91,0.8
92,0.8333333333333334
93,0.8166666666666667
94,0.8
95,0.8
96,0.8166666666666667
97,0.8083333333333333
98,0.8083333333333333
99,0.8166666666666667
100,0.8083333333333333
