operation,round,time
train,1,13.680527448654175
train,2,8.054356098175049
train,3,8.165606260299683
train,4,8.07735800743103
train,5,8.074399948120117
train,6,8.125222444534302
train,7,8.137269973754883
train,8,8.101569652557373
train,9,8.131494283676147
train,10,8.160935163497925
train,11,8.10756778717041
train,12,8.128199338912964
train,13,8.071936845779419
train,14,8.135828256607056
train,15,8.165282011032104
train,16,8.154455661773682
train,17,8.168359756469727
train,18,8.177003383636475
train,19,8.156123638153076
train,20,8.162731647491455
train,21,8.111936807632446
train,22,8.155067920684814
train,23,8.095899105072021
train,24,8.152267932891846
train,25,8.08298134803772
train,26,8.138765096664429
train,27,8.134962320327759
train,28,8.091515064239502
train,29,8.146132230758667
train,30,8.122965574264526
train,31,8.100318908691406
train,32,8.167304277420044
train,33,8.100016832351685
train,34,8.122184038162231
train,35,8.141331672668457
train,36,8.125110387802124
train,37,8.154846429824829
train,38,8.149584770202637
train,39,8.133708477020264
train,40,8.125166654586792
train,41,8.141775131225586
train,42,8.1349458694458
train,43,8.14929461479187
train,44,8.165894746780396
train,45,8.108847856521606
train,46,8.120704412460327
train,47,8.135684967041016
train,48,8.132088899612427
train,49,8.143471479415894
train,50,8.133853673934937
train,51,8.157796621322632
train,52,8.117910146713257
train,53,8.15870189666748
train,54,8.124627113342285
train,55,8.107014179229736
train,56,8.151301622390747
train,57,8.160568714141846
train,58,8.109568357467651
train,59,8.123965501785278
train,60,8.123326301574707
train,61,8.131395816802979
train,62,8.152731895446777
train,63,8.168752670288086
train,64,8.15106987953186
train,65,8.147022485733032
train,66,8.137612104415894
train,67,8.15125036239624
train,68,8.148742914199829
train,69,8.127300024032593
train,70,8.151030778884888
train,71,8.104871034622192
train,72,8.17505693435669
train,73,8.144711017608643
train,74,8.118672609329224
train,75,8.190574407577515
train,76,8.142097473144531
train,77,8.13819432258606
train,78,8.11198616027832
train,79,8.166875839233398
train,80,8.15044355392456
train,81,8.135807991027832
train,82,8.140994787216187
train,83,8.144341468811035
train,84,8.156648397445679
train,85,8.12294602394104
train,86,8.137922048568726
train,87,8.186362504959106
train,88,8.1122567653656
train,89,8.117133617401123
train,90,8.151825666427612
train,91,8.150636911392212
train,92,8.1539945602417
train,93,8.13954758644104
train,94,8.134126663208008
train,95,8.092586755752563
train,96,8.149049520492554
train,97,8.17481517791748
train,98,8.157896757125854
train,99,8.15797472000122
train,100,8.07981562614441
