Bits,Original,sigma,block,naive
2,76.38,50.07,24.13,10.0
3,76.38,74.08,70.84,55.54
4,76.38,75.98,74.88,72.0
5,76.38,76.11,75.49,75.45
6,76.38,75.84,75.77,75.78
7,76.38,76.28,75.68,75.69
8,76.38,75.85,76.14,75.49
