round,accuracy
1,0.3416666666666667
2,0.49166666666666664
3,0.5166666666666667
4,0.6666666666666666
5,0.475
6,0.775
7,0.7916666666666666
8,0.8
9,0.8
10,0.8083333333333333
11,0.725
12,0.8166666666666667
13,0.7666666666666667
14,0.825
15,0.8666666666666667
16,0.7333333333333333
17,0.775
18,0.8166666666666667
19,0.85
20,0.7583333333333333
21,0.8166666666666667
22,0.7833333333333333
23,0.8
24,0.8416666666666667
25,0.8166666666666667
26,0.7666666666666667
27,0.8083333333333333
28,0.8666666666666667
29,0.8583333333333333
30,0.8166666666666667
31,0.8333333333333334
32,0.875
33,0.875
34,0.85
35,0.825
36,0.8833333333333333
37,0.8416666666666667
38,0.8666666666666667
39,0.8166666666666667
40,0.85
41,0.8166666666666667
42,0.85
43,0.85
44,0.8333333333333334
45,0.825
46,0.8583333333333333
47,0.8416666666666667
48,0.875
49,0.8166666666666667
50,0.825
51,0.8083333333333333
52,0.8916666666666667
53,0.825
54,0.85
55,0.875
56,0.875
57,0.8333333333333334
58,0.8333333333333334
59,0.8333333333333334
60,0.825
61,0.8333333333333334
62,0.8666666666666667
63,0.8416666666666667
64,0.8333333333333334
65,0.825
66,0.8333333333333334
67,0.8583333333333333
68,0.8166666666666667
69,0.8333333333333334
70,0.825
71,0.875
72,0.8333333333333334
73,0.8666666666666667
74,0.8583333333333333
75,0.8833333333333333
76,0.825
77,0.8333333333333334
78,0.8583333333333333
79,0.825
80,0.8583333333333333
81,0.825
82,0.825
83,0.8416666666666667
84,0.8416666666666667
85,0.8416666666666667
86,0.825
87,0.8166666666666667
88,0.8083333333333333
89,0.8666666666666667
90,0.8666666666666667
91,0.8666666666666667
92,0.8416666666666667
93,0.85
94,0.8666666666666667
95,0.8583333333333333
96,0.8583333333333333
97,0.8583333333333333
98,0.8583333333333333
99,0.8583333333333333
100,0.8666666666666667
