round,accuracy
1,0.425
2,0.5
3,0.575
4,0.6
5,0.475
6,0.7333333333333333
7,0.7416666666666667
8,0.7333333333333333
9,0.775
10,0.7583333333333333
11,0.7333333333333333
12,0.7583333333333333
13,0.7833333333333333
14,0.7666666666666667
15,0.7666666666666667
16,0.7666666666666667
17,0.7916666666666666
18,0.775
19,0.8166666666666667
20,0.775
21,0.7916666666666666
22,0.7833333333333333
23,0.7666666666666667
24,0.8
25,0.7833333333333333
26,0.8083333333333333
27,0.7583333333333333
28,0.8416666666666667
29,0.7916666666666666
30,0.7666666666666667
31,0.8
32,0.8
33,0.8
34,0.75
35,0.7583333333333333
36,0.8
37,0.8
38,0.825
39,0.7833333333333333
40,0.7833333333333333
41,0.7916666666666666
42,0.8083333333333333
43,0.775
44,0.8333333333333334
45,0.8083333333333333
46,0.8
47,0.7333333333333333
48,0.775
49,0.7833333333333333
50,0.7916666666666666
51,0.7583333333333333
52,0.7833333333333333
53,0.8166666666666667
54,0.7916666666666666
55,0.775
56,0.8
57,0.7666666666666667
58,0.725
59,0.7916666666666666
60,0.8
61,0.775
62,0.8083333333333333
63,0.8083333333333333
64,0.8083333333333333
65,0.8166666666666667
66,0.8
67,0.8333333333333334
68,0.8083333333333333
69,0.8333333333333334
70,0.8416666666666667
71,0.8166666666666667
72,0.8
73,0.8083333333333333
74,0.8083333333333333
75,0.8083333333333333
76,0.8083333333333333
77,0.8
78,0.8
79,0.8083333333333333
80,0.8166666666666667
81,0.8333333333333334
82,0.8
83,0.8166666666666667
84,0.8083333333333333
85,0.825
86,0.825
87,0.7833333333333333
88,0.8333333333333334
89,0.825
90,0.8333333333333334
91,0.825
92,0.8166666666666667
93,0.8083333333333333
94,0.8166666666666667
95,0.8166666666666667
96,0.8083333333333333
97,0.825
98,0.8166666666666667
99,0.825
100,0.8166666666666667
