round,accuracy
1,0.425
2,0.5166666666666667
3,0.575
4,0.5916666666666667
5,0.55
6,0.8
7,0.8
8,0.8083333333333333
9,0.8166666666666667
10,0.8083333333333333
11,0.8
12,0.8333333333333334
13,0.825
14,0.8083333333333333
15,0.85
16,0.8083333333333333
17,0.85
18,0.85
19,0.8416666666666667
20,0.8333333333333334
21,0.8083333333333333
22,0.8416666666666667
23,0.8666666666666667
24,0.85
25,0.825
26,0.875
27,0.825
28,0.8333333333333334
29,0.8666666666666667
30,0.875
31,0.875
32,0.8583333333333333
33,0.8916666666666667
34,0.8666666666666667
35,0.8833333333333333
36,0.8833333333333333
37,0.8666666666666667
38,0.875
39,0.8833333333333333
40,0.8416666666666667
41,0.8666666666666667
42,0.8666666666666667
43,0.8666666666666667
44,0.8666666666666667
45,0.85
46,0.875
47,0.85
48,0.9166666666666666
49,0.8583333333333333
50,0.8833333333333333
51,0.8416666666666667
52,0.8916666666666667
53,0.8
54,0.85
55,0.8416666666666667
56,0.8833333333333333
57,0.8666666666666667
58,0.8666666666666667
59,0.8416666666666667
60,0.8416666666666667
61,0.875
62,0.875
63,0.8166666666666667
64,0.8666666666666667
65,0.9
66,0.8416666666666667
67,0.8833333333333333
68,0.8833333333333333
69,0.8916666666666667
70,0.8833333333333333
71,0.8916666666666667
72,0.8833333333333333
73,0.8916666666666667
74,0.875
75,0.8666666666666667
76,0.8833333333333333
77,0.8916666666666667
78,0.8916666666666667
79,0.85
80,0.8916666666666667
81,0.8916666666666667
82,0.9
83,0.85
84,0.8833333333333333
85,0.8583333333333333
86,0.9083333333333333
87,0.8916666666666667
88,0.9
89,0.8833333333333333
90,0.8916666666666667
91,0.9
92,0.8666666666666667
93,0.8916666666666667
94,0.9
95,0.8916666666666667
96,0.8916666666666667
97,0.8833333333333333
98,0.8833333333333333
99,0.8833333333333333
100,0.8833333333333333
