operation,round,time
train,1,6.093225717544556
train,2,5.322403907775879
train,3,5.290744781494141
train,4,5.318625450134277
train,5,5.3922669887542725
train,6,5.361574411392212
train,7,5.26106071472168
train,8,5.3725080490112305
train,9,5.382762908935547
train,10,5.403963088989258
train,11,5.406567335128784
train,12,5.406412363052368
train,13,5.344617605209351
train,14,5.322863340377808
train,15,5.426340103149414
train,16,5.405301809310913
train,17,5.320363998413086
train,18,5.32843017578125
train,19,5.330921411514282
train,20,5.339988946914673
train,21,5.324924468994141
train,22,5.227659702301025
train,23,5.294876575469971
train,24,5.282395124435425
train,25,5.0181725025177
train,26,5.276385068893433
train,27,5.318530797958374
train,28,5.506448745727539
train,29,5.3016297817230225
train,30,5.296270370483398
train,31,5.407136917114258
train,32,5.270292520523071
train,33,5.327183485031128
train,34,5.304880380630493
train,35,5.328393459320068
train,36,5.378533601760864
train,37,5.342242002487183
train,38,5.383177280426025
train,39,5.2889626026153564
train,40,5.313699007034302
train,41,5.318636894226074
train,42,5.384466171264648
train,43,5.274429798126221
train,44,5.364590883255005
train,45,5.317692279815674
train,46,5.313068151473999
train,47,5.2530436515808105
train,48,5.159478187561035
train,49,4.930068731307983
train,50,5.212505340576172
train,51,5.238941431045532
train,52,5.323760032653809
train,53,5.30669641494751
train,54,5.333917140960693
train,55,5.336446046829224
train,56,5.295359373092651
train,57,5.27823281288147
train,58,5.336490869522095
train,59,5.346339464187622
train,60,5.350079774856567
train,61,5.274316072463989
train,62,5.41318416595459
train,63,5.383972406387329
train,64,5.356266975402832
train,65,5.350212812423706
train,66,5.426244020462036
train,67,5.269801616668701
train,68,5.348688840866089
train,69,5.236103773117065
train,70,5.303592920303345
train,71,5.239233493804932
train,72,5.333229064941406
train,73,5.346902132034302
train,74,5.316864728927612
train,75,5.352131128311157
train,76,5.390105247497559
train,77,5.325210809707642
train,78,5.289619445800781
train,79,5.38982081413269
train,80,5.370352268218994
train,81,5.3792500495910645
train,82,5.276289224624634
train,83,5.356142044067383
train,84,5.321213483810425
train,85,5.339555978775024
train,86,5.3230061531066895
train,87,5.301120281219482
train,88,5.339616060256958
train,89,5.099181890487671
train,90,5.272836923599243
train,91,5.273143768310547
train,92,5.397205114364624
train,93,5.333883762359619
train,94,5.298446178436279
train,95,5.254732847213745
train,96,5.26186728477478
train,97,5.348262071609497
train,98,5.397591829299927
train,99,5.241365194320679
evaluate,1,2.776841640472412
evaluate,2,0.15337705612182617
evaluate,3,0.11977124214172363
evaluate,4,0.13487744331359863
evaluate,5,0.14654088020324707
evaluate,6,0.150954008102417
evaluate,7,0.15386676788330078
evaluate,8,0.15231585502624512
evaluate,9,0.14563870429992676
evaluate,10,0.1567704677581787
evaluate,11,0.10449600219726562
evaluate,12,0.1588582992553711
evaluate,13,0.05423998832702637
evaluate,14,0.15111160278320312
evaluate,15,0.15493273735046387
evaluate,16,0.14449405670166016
evaluate,17,0.15418648719787598
evaluate,18,0.15337824821472168
evaluate,19,0.06424117088317871
evaluate,20,0.15191197395324707
evaluate,21,0.14871835708618164
evaluate,22,0.12719964981079102
evaluate,23,0.13262271881103516
evaluate,24,0.13288283348083496
evaluate,25,0.1342015266418457
evaluate,26,0.14618229866027832
evaluate,27,0.15099549293518066
evaluate,28,0.1293351650238037
evaluate,29,0.14991426467895508
evaluate,30,0.13119053840637207
evaluate,31,0.05759429931640625
evaluate,32,0.14537763595581055
evaluate,33,0.14942574501037598
evaluate,34,0.13413667678833008
evaluate,35,0.13200592994689941
evaluate,36,0.1495668888092041
evaluate,37,0.14888834953308105
evaluate,38,0.1300516128540039
evaluate,39,0.1461045742034912
evaluate,40,0.13393640518188477
evaluate,41,0.15253925323486328
evaluate,42,0.14986157417297363
evaluate,43,0.13514089584350586
evaluate,44,0.15076303482055664
evaluate,45,0.11608362197875977
evaluate,46,0.14491868019104004
evaluate,47,0.13354015350341797
evaluate,48,0.08757233619689941
evaluate,49,0.152787446975708
evaluate,50,0.15746068954467773
evaluate,51,0.1507120132446289
evaluate,52,0.15636038780212402
evaluate,53,0.11233782768249512
evaluate,54,0.13086342811584473
evaluate,55,0.15121173858642578
evaluate,56,0.13268828392028809
evaluate,57,0.14667224884033203
evaluate,58,0.15205979347229004
evaluate,59,0.13144755363464355
evaluate,60,0.15523743629455566
evaluate,61,0.14836406707763672
evaluate,62,0.1537795066833496
evaluate,63,0.07967376708984375
evaluate,64,0.13095784187316895
evaluate,65,0.15462851524353027
evaluate,66,0.14358949661254883
evaluate,67,0.14764142036437988
evaluate,68,0.14922666549682617
evaluate,69,0.11971473693847656
evaluate,70,0.05194258689880371
evaluate,71,0.13286042213439941
evaluate,72,0.14635562896728516
evaluate,73,0.04997110366821289
evaluate,74,0.14866256713867188
evaluate,75,0.14919066429138184
evaluate,76,0.14206600189208984
evaluate,77,0.13600945472717285
evaluate,78,0.13251304626464844
evaluate,79,0.13095998764038086
evaluate,80,0.14280176162719727
evaluate,81,0.15053272247314453
evaluate,82,0.14507365226745605
evaluate,83,0.15020275115966797
evaluate,84,0.15609431266784668
evaluate,85,0.149428129196167
evaluate,86,0.1478419303894043
evaluate,87,0.14532017707824707
evaluate,88,0.14570951461791992
evaluate,89,0.15215778350830078
evaluate,90,0.1554272174835205
evaluate,91,0.1497642993927002
evaluate,92,0.1497511863708496
evaluate,93,0.14867877960205078
evaluate,94,0.14382529258728027
evaluate,95,0.128493070602417
evaluate,96,0.14698410034179688
evaluate,97,0.15511751174926758
evaluate,98,0.13956952095031738
evaluate,99,0.14986872673034668
evaluate,100,0.04413008689880371
