operation,time
transmission,2.435547351837158
transmission,2.102355718612671
transmission,1.846975564956665
transmission,2.4348151683807373
transmission,1.922886848449707
transmission,1.9940080642700195
transmission,2.585875988006592
transmission,2.0619888305664062
transmission,1.780449390411377
transmission,2.3141942024230957
quantization,0.06060981750488281
quantization,1.008538007736206
quantization,1.0149037837982178
quantization,1.0210094451904297
quantization,1.0195648670196533
quantization,2.0427353382110596
quantization,4.128174066543579
quantization,4.117470026016235
quantization,4.106760740280151
quantization,8.304899454116821
quantization,16.020148754119873
quantization,16.530903339385986
quantization,16.403196334838867
quantization,33.629085063934326
quantization,67.92541718482971
quantization,68.38003063201904
quantization,68.77448010444641
quantization,0.19972825050354004
quantization,0.008125543594360352
quantization,0.05882883071899414
quantization,1.0049612522125244
quantization,1.009488821029663
quantization,1.0063183307647705
quantization,1.0069458484649658
quantization,2.045401096343994
quantization,4.074744701385498
quantization,4.084741115570068
quantization,4.102672338485718
quantization,8.219906330108643
quantization,15.8585786819458
quantization,15.906701803207397
quantization,15.97883939743042
quantization,33.205769538879395
quantization,65.87847518920898
quantization,64.35683417320251
quantization,64.89917755126953
quantization,0.20912599563598633
quantization,0.008335351943969727
quantization,0.058811187744140625
quantization,1.0130436420440674
quantization,1.0133652687072754
quantization,1.0084960460662842
quantization,1.0122673511505127
quantization,2.042877674102783
quantization,4.066015005111694
quantization,4.072990894317627
quantization,4.105065584182739
quantization,8.023746252059937
quantization,15.836157083511353
quantization,15.894952297210693
quantization,15.938356161117554
quantization,31.377801179885864
quantization,63.34030508995056
quantization,64.16725444793701
quantization,64.38855147361755
quantization,0.2110610008239746
quantization,0.0088348388671875
quantization,0.058106422424316406
quantization,1.0017385482788086
quantization,1.0034642219543457
quantization,1.000333547592163
quantization,1.020519733428955
quantization,2.018202066421509
quantization,4.0672266483306885
quantization,4.040259838104248
quantization,4.0462236404418945
quantization,7.931093454360962
quantization,16.05926203727722
quantization,15.890506982803345
quantization,16.16929841041565
quantization,31.26131510734558
quantization,63.503573417663574
quantization,64.14064979553223
quantization,64.52563524246216
