operation,round,time
quantization,72,3.663851261138916
quantization,73,3.6277034282684326
quantization,74,3.6407699584960938
quantization,75,3.6102685928344727
quantization,76,3.6282663345336914
quantization,77,3.6220998764038086
quantization,78,3.639636278152466
quantization,79,3.652824878692627
quantization,80,3.6308581829071045
quantization,81,3.6213362216949463
quantization,82,3.634481191635132
quantization,83,3.6459710597991943
quantization,84,3.6447532176971436
quantization,85,3.653468608856201
quantization,86,3.6403183937072754
quantization,87,3.665221691131592
quantization,88,3.635359287261963
quantization,89,3.622532606124878
quantization,90,3.6115636825561523
quantization,91,3.618168592453003
quantization,92,3.6193437576293945
quantization,93,3.626204490661621
quantization,94,3.634211301803589
quantization,95,3.6226916313171387
quantization,96,3.6498191356658936
quantization,97,3.6272425651550293
quantization,98,3.6277496814727783
quantization,99,3.635755777359009
encryption,0,3.928718090057373
encryption,1,3.902379035949707
encryption,2,3.8887948989868164
encryption,3,3.8954317569732666
encryption,4,3.91911244392395
encryption,5,3.8869457244873047
encryption,6,3.8968417644500732
encryption,7,3.9288065433502197
encryption,8,3.8929176330566406
encryption,9,3.9051058292388916
encryption,10,3.8865067958831787
encryption,11,3.8974952697753906
encryption,12,3.8857810497283936
encryption,13,3.9008758068084717
encryption,14,3.8867015838623047
encryption,15,3.8966634273529053
encryption,16,3.886583089828491
encryption,17,3.9040379524230957
encryption,18,3.898693084716797
encryption,19,3.888652801513672
encryption,20,3.8995301723480225
encryption,21,3.886974334716797
encryption,22,3.9915571212768555
encryption,23,3.891226053237915
encryption,24,3.8982365131378174
encryption,25,3.8865714073181152
encryption,26,3.89725399017334
encryption,27,3.9242923259735107
encryption,28,3.8861711025238037
encryption,29,3.8970084190368652
encryption,30,3.883885622024536
encryption,31,3.8997650146484375
encryption,32,3.8962578773498535
encryption,33,3.883124589920044
encryption,34,3.9005801677703857
encryption,35,3.886800765991211
encryption,36,3.8964312076568604
encryption,37,3.8974664211273193
encryption,38,3.8888959884643555
encryption,39,3.893594264984131
encryption,40,3.8879542350769043
encryption,41,3.8997607231140137
encryption,42,3.8969342708587646
encryption,43,3.885683536529541
encryption,44,3.898845672607422
encryption,45,3.8861656188964844
encryption,46,3.899940252304077
encryption,47,3.886277675628662
encryption,48,3.9000213146209717
encryption,49,3.9021859169006348
encryption,50,3.8863511085510254
encryption,51,3.897247552871704
encryption,52,3.899179220199585
encryption,53,3.884652853012085
encryption,54,3.8984792232513428
encryption,55,3.8899636268615723
encryption,56,3.901824712753296
encryption,57,3.890230178833008
encryption,58,3.8878817558288574
encryption,59,3.898489236831665
encryption,60,3.8886184692382812
encryption,61,3.898360013961792
encryption,62,3.9000816345214844
encryption,63,3.889462471008301
encryption,64,3.9009511470794678
encryption,65,3.8817741870880127
encryption,66,3.899254083633423
encryption,67,3.895723581314087
encryption,68,3.8873913288116455
encryption,69,3.8965628147125244
encryption,70,3.8988070487976074
encryption,71,3.883742570877075
encryption,72,3.895273208618164
encryption,73,3.893171548843384
encryption,74,3.895801305770874
encryption,75,3.89803409576416
encryption,76,3.883402109146118
encryption,77,3.896810531616211
encryption,78,3.8857553005218506
encryption,79,3.895716667175293
encryption,80,3.8866071701049805
encryption,81,3.885995626449585
encryption,82,3.8954296112060547
encryption,83,3.8820669651031494
encryption,84,3.9012980461120605
encryption,85,3.882138252258301
encryption,86,3.8945531845092773
encryption,87,3.8874802589416504
encryption,88,3.8999271392822266
encryption,89,3.8939692974090576
encryption,90,3.8831939697265625
encryption,91,3.8956356048583984
encryption,92,3.8936610221862793
encryption,93,3.8861083984375
encryption,94,3.895479440689087
encryption,95,3.8846888542175293
encryption,96,3.903364419937134
encryption,97,3.883991241455078
encryption,98,3.898829221725464
encryption,99,3.883399724960327
decryption,0,1.9147369861602783
decryption,1,1.878896713256836
decryption,2,1.8748893737792969
decryption,3,1.8856430053710938
decryption,4,1.9007132053375244
decryption,5,1.8602948188781738
decryption,6,1.8437812328338623
decryption,7,1.8745579719543457
decryption,8,1.8744986057281494
decryption,9,1.8614420890808105
decryption,10,1.9028346538543701
decryption,11,1.859351396560669
decryption,12,1.849731206893921
decryption,13,1.8595647811889648
decryption,14,1.8523354530334473
decryption,15,1.8571662902832031
decryption,16,1.8835904598236084
decryption,17,1.8679606914520264
decryption,18,1.8684906959533691
decryption,19,1.8637917041778564
decryption,20,1.850884199142456
decryption,21,1.860767126083374
decryption,22,1.8880789279937744
decryption,23,2.0247716903686523
decryption,24,1.8653614521026611
decryption,25,1.8624663352966309
decryption,26,1.8682467937469482
decryption,27,1.8638262748718262
decryption,28,1.8959333896636963
decryption,29,1.8735694885253906
decryption,30,1.870225191116333
decryption,31,1.8754668235778809
decryption,32,1.8651008605957031
decryption,33,1.869678020477295
decryption,34,1.8907408714294434
decryption,35,1.864605188369751
decryption,36,1.8506615161895752
decryption,37,1.866652250289917
decryption,38,1.8655366897583008
decryption,39,1.8518257141113281
decryption,40,1.8861770629882812
decryption,41,1.8488869667053223
decryption,42,1.852614164352417
decryption,43,1.8450734615325928
decryption,44,1.8533930778503418
decryption,45,1.8485963344573975
decryption,46,1.8728325366973877
decryption,47,1.8478736877441406
decryption,48,1.8555026054382324
decryption,49,1.8473708629608154
decryption,50,1.8540809154510498
decryption,51,1.854374885559082
decryption,52,1.880610466003418
decryption,53,1.8578641414642334
decryption,54,1.8600237369537354
decryption,55,1.8423333168029785
decryption,56,1.8655929565429688
decryption,57,1.8663723468780518
decryption,58,1.8905510902404785
decryption,59,1.8460686206817627
decryption,60,1.8462512493133545
decryption,61,1.8536136150360107
decryption,62,1.8474469184875488
decryption,63,1.8575053215026855
decryption,64,1.8784489631652832
decryption,65,1.8545749187469482
decryption,66,1.8501527309417725
decryption,67,1.8531303405761719
decryption,68,1.8591527938842773
decryption,69,1.862480640411377
decryption,70,1.8831799030303955
decryption,71,1.8485169410705566
decryption,72,1.852977991104126
decryption,73,1.8459348678588867
decryption,74,1.8502004146575928
decryption,75,1.8501391410827637
decryption,76,1.8920924663543701
decryption,77,1.8854055404663086
decryption,78,1.8421382904052734
decryption,79,1.847764492034912
decryption,80,1.866079568862915
decryption,81,1.870060920715332
decryption,82,1.8808631896972656
decryption,83,1.8519914150238037
decryption,84,1.8555054664611816
decryption,85,1.8483953475952148
decryption,86,1.8542802333831787
decryption,87,1.8573250770568848
decryption,88,1.8953723907470703
decryption,89,1.8426437377929688
decryption,90,1.85854172706604
decryption,91,1.839585542678833
decryption,92,1.8422677516937256
decryption,93,1.8656952381134033
decryption,94,1.8766019344329834
decryption,95,1.8406951427459717
decryption,96,1.841301441192627
decryption,97,1.8536310195922852
decryption,98,1.8419060707092285
decryption,99,1.8342111110687256
dequantization,0,2.164599657058716
dequantization,1,2.1466147899627686
dequantization,2,2.146829843521118
dequantization,3,2.1739251613616943
dequantization,4,2.144289493560791
dequantization,5,2.1460959911346436
dequantization,6,2.1303389072418213
dequantization,7,2.1522252559661865
dequantization,8,2.147648811340332
