operation,round,time
train,1,15.16210651397705
train,2,8.359971046447754
train,3,8.227276086807251
train,4,8.490170955657959
train,5,8.93506932258606
train,6,8.691871404647827
train,7,11.268065690994263
train,8,9.520496606826782
train,9,12.963200569152832
train,10,11.19886565208435
evaluate,1,0.29589414596557617
evaluate,2,0.24518132209777832
evaluate,3,0.1166536808013916
evaluate,4,0.07906889915466309
evaluate,5,0.08196473121643066
evaluate,6,0.1555335521697998
evaluate,7,0.07721185684204102
evaluate,8,0.18198919296264648
evaluate,9,0.141310453414917
evaluate,10,0.248032808303833
