operation,round,time
train,1,15.805937051773071
train,2,8.891585111618042
train,3,8.818849325180054
train,4,8.059121370315552
train,5,7.282025098800659
train,6,8.58850383758545
train,7,11.474733114242554
train,8,10.275871753692627
train,9,8.804219245910645
train,10,9.335582971572876
evaluate,1,0.6040420532226562
evaluate,2,0.17529940605163574
evaluate,3,0.11114835739135742
evaluate,4,0.20865559577941895
evaluate,5,0.1369316577911377
evaluate,6,0.09221649169921875
evaluate,7,0.18142199516296387
evaluate,8,0.26828670501708984
evaluate,9,0.17847514152526855
evaluate,10,0.19103527069091797
