operation,round,time
train,1,12.434468507766724
train,2,9.171561241149902
train,3,9.064956188201904
train,4,8.618961811065674
train,5,8.494948863983154
train,6,8.662857294082642
train,7,11.0540771484375
train,8,10.669541120529175
train,9,8.920220136642456
train,10,10.953906297683716
evaluate,1,0.786815881729126
evaluate,2,0.19046711921691895
evaluate,3,0.20262980461120605
evaluate,4,0.13597798347473145
evaluate,5,0.11777853965759277
evaluate,6,0.2414228916168213
evaluate,7,0.1827380657196045
evaluate,8,0.2077653408050537
evaluate,9,0.13142108917236328
evaluate,10,0.23218941688537598
