operation,round,time
train,1,8.764620780944824
train,2,9.07791543006897
train,3,9.07172966003418
train,4,9.342344522476196
train,5,7.125218629837036
train,6,9.102996110916138
train,7,10.906239748001099
train,8,10.627178430557251
train,9,9.18630599975586
train,10,8.896957874298096
evaluate,1,0.40036916732788086
evaluate,2,0.11523962020874023
evaluate,3,0.09825611114501953
evaluate,4,0.11694502830505371
evaluate,5,0.16036391258239746
evaluate,6,0.1586143970489502
evaluate,7,0.04083538055419922
evaluate,8,0.18215584754943848
evaluate,9,0.1407308578491211
evaluate,10,0.14058876037597656
