operation,round,time
train,1,15.906348705291748
train,2,8.84099555015564
train,3,7.704422235488892
train,4,7.85513710975647
train,5,8.801016092300415
train,6,8.94126272201538
train,7,11.275052070617676
train,8,10.6114661693573
train,9,9.039215087890625
train,10,10.870508670806885
evaluate,1,0.9071848392486572
evaluate,2,0.18349194526672363
evaluate,3,0.13859009742736816
evaluate,4,0.07708477973937988
evaluate,5,0.21546316146850586
evaluate,6,0.22780418395996094
evaluate,7,0.07844710350036621
evaluate,8,0.12124848365783691
evaluate,9,0.15580010414123535
evaluate,10,0.14949393272399902
