round,accuracy
1,0.5916666666666667
2,0.7333333333333333
3,0.725
4,0.7583333333333333
5,0.775
6,0.8333333333333334
7,0.775
8,0.7916666666666666
9,0.8583333333333333
10,0.8916666666666667
11,0.9166666666666666
12,0.8916666666666667
13,0.8583333333333333
14,0.8583333333333333
15,0.875
16,0.8833333333333333
17,0.85
18,0.9
19,0.8833333333333333
20,0.875
21,0.9083333333333333
22,0.8916666666666667
23,0.8833333333333333
24,0.8916666666666667
25,0.8666666666666667
26,0.9416666666666667
27,0.9333333333333333
28,0.9
29,0.8916666666666667
30,0.925
31,0.8583333333333333
32,0.875
33,0.875
34,0.9166666666666666
35,0.925
36,0.8916666666666667
37,0.9
38,0.9
39,0.85
40,0.925
41,0.925
42,0.9
43,0.8583333333333333
44,0.9
45,0.9
46,0.9
47,0.95
48,0.9083333333333333
49,0.9083333333333333
50,0.8833333333333333
51,0.9083333333333333
52,0.925
53,0.9166666666666666
54,0.9166666666666666
55,0.9333333333333333
56,0.925
57,0.9333333333333333
58,0.9416666666666667
59,0.95
60,0.9416666666666667
61,0.9
62,0.925
63,0.9333333333333333
64,0.8666666666666667
65,0.9333333333333333
66,0.9416666666666667
67,0.9
68,0.95
69,0.9083333333333333
70,0.9166666666666666
71,0.9333333333333333
72,0.9416666666666667
73,0.9083333333333333
74,0.95
75,0.9166666666666666
76,0.925
77,0.95
78,0.9
79,0.9416666666666667
80,0.925
81,0.9416666666666667
82,0.925
83,0.925
84,0.9416666666666667
85,0.95
86,0.9416666666666667
87,0.925
88,0.925
89,0.9166666666666666
90,0.9416666666666667
91,0.95
92,0.9333333333333333
93,0.95
94,0.95
95,0.9416666666666667
96,0.95
97,0.95
98,0.95
99,0.95
100,0.9583333333333334
