operation,round,time
train,1,8.880682229995728
train,2,6.186769008636475
train,3,6.197000980377197
train,4,6.1429760456085205
train,5,6.217846393585205
train,6,6.192516565322876
train,7,6.245127201080322
train,8,6.222437858581543
train,9,6.1285789012908936
train,10,6.245605945587158
train,11,6.187838077545166
train,12,6.2087483406066895
train,13,6.154027938842773
train,14,6.186577320098877
train,15,6.141887187957764
train,16,6.1615447998046875
train,17,6.128156423568726
train,18,6.177739381790161
train,19,6.12026309967041
train,20,6.128009080886841
train,21,6.236161947250366
train,22,6.143287658691406
train,23,6.1608099937438965
train,24,6.2046568393707275
train,25,6.067667245864868
train,26,6.306437253952026
train,27,6.241839647293091
train,28,6.176882028579712
train,29,6.014980792999268
train,30,6.086777687072754
train,31,6.093684673309326
train,32,6.226461172103882
train,33,6.105360507965088
train,34,6.226576566696167
train,35,6.168242931365967
train,36,6.221518516540527
train,37,6.1811113357543945
train,38,6.195408344268799
train,39,6.114131450653076
train,40,5.985151052474976
train,41,6.138681411743164
train,42,6.2831785678863525
train,43,6.108428716659546
train,44,6.166582107543945
train,45,6.133765935897827
train,46,6.211075782775879
train,47,6.237640619277954
train,48,6.276918649673462
train,49,6.164854526519775
train,50,6.118512153625488
train,51,6.154012680053711
train,52,6.174752473831177
train,53,6.152585506439209
train,54,6.221085548400879
train,55,6.137505054473877
train,56,6.232777833938599
train,57,6.159576892852783
train,58,6.090214252471924
train,59,6.2514097690582275
train,60,6.1919426918029785
train,61,6.180339336395264
train,62,6.171400785446167
train,63,6.1949968338012695
train,64,6.2456018924713135
train,65,6.1185877323150635
train,66,6.104030132293701
train,67,6.1615753173828125
train,68,6.150423288345337
train,69,6.13410496711731
train,70,6.241955995559692
train,71,6.156234979629517
train,72,6.204289197921753
train,73,6.173433542251587
train,74,6.206374168395996
train,75,6.176515579223633
train,76,6.113875150680542
train,77,6.07183575630188
train,78,6.2410290241241455
train,79,6.082535028457642
train,80,6.199201345443726
train,81,6.20036506652832
train,82,6.220895290374756
train,83,6.1532979011535645
train,84,6.169933795928955
train,85,6.185610294342041
train,86,6.167779207229614
train,87,6.157055377960205
train,88,6.087431907653809
train,89,6.28727388381958
train,90,6.218748092651367
train,91,6.212313652038574
train,92,6.1482319831848145
train,93,6.157885313034058
train,94,6.134048700332642
train,95,6.214752197265625
train,96,6.28545618057251
train,97,6.257013559341431
train,98,6.131171703338623
train,99,6.168359041213989
train,100,6.243087291717529
evaluate,1,0.21207332611083984
evaluate,2,0.16015386581420898
evaluate,3,0.15826845169067383
evaluate,4,0.12039852142333984
evaluate,5,0.14217591285705566
evaluate,6,0.17264437675476074
evaluate,7,0.15491771697998047
evaluate,8,0.17264842987060547
evaluate,9,0.14262151718139648
evaluate,10,0.15529775619506836
evaluate,11,0.13581109046936035
evaluate,12,0.15588951110839844
evaluate,13,0.17053556442260742
evaluate,14,0.15191149711608887
evaluate,15,0.1397230625152588
evaluate,16,0.16337227821350098
evaluate,17,0.15341520309448242
evaluate,18,0.15427851676940918
evaluate,19,0.06212496757507324
evaluate,20,0.14273953437805176
evaluate,21,0.1577610969543457
evaluate,22,0.15409421920776367
evaluate,23,0.1425032615661621
evaluate,24,0.1558518409729004
evaluate,25,0.0631709098815918
evaluate,26,0.16402840614318848
evaluate,27,0.1535789966583252
evaluate,28,0.1389908790588379
evaluate,29,0.1552257537841797
evaluate,30,0.15334010124206543
evaluate,31,0.15207409858703613
evaluate,32,0.15447521209716797
evaluate,33,0.1555185317993164
evaluate,34,0.13688063621520996
evaluate,35,0.15485286712646484
evaluate,36,0.15585017204284668
evaluate,37,0.1513524055480957
evaluate,38,0.1535029411315918
evaluate,39,0.14481878280639648
evaluate,40,0.15426874160766602
evaluate,41,0.15692591667175293
evaluate,42,0.12062954902648926
evaluate,43,0.15410494804382324
evaluate,44,0.16237354278564453
evaluate,45,0.15237760543823242
evaluate,46,0.13588166236877441
evaluate,47,0.1540236473083496
evaluate,48,0.15209102630615234
evaluate,49,0.15224146842956543
evaluate,50,0.07155275344848633
evaluate,51,0.1552283763885498
evaluate,52,0.15929412841796875
