round,accuracy
1,0.5333333333333333
2,0.6666666666666666
3,0.725
4,0.6916666666666667
5,0.7
6,0.7416666666666667
7,0.7333333333333333
8,0.75
9,0.7666666666666667
10,0.7916666666666666
11,0.7833333333333333
12,0.8166666666666667
13,0.825
14,0.8
15,0.825
16,0.8
17,0.8166666666666667
18,0.8083333333333333
19,0.825
20,0.825
21,0.8416666666666667
22,0.8083333333333333
23,0.8583333333333333
24,0.825
25,0.8166666666666667
26,0.85
27,0.8666666666666667
28,0.8166666666666667
29,0.8
30,0.8833333333333333
31,0.825
32,0.775
33,0.825
34,0.8333333333333334
35,0.825
36,0.8333333333333334
37,0.825
38,0.85
39,0.85
40,0.875
41,0.825
42,0.85
43,0.8583333333333333
44,0.8333333333333334
45,0.8416666666666667
46,0.8166666666666667
47,0.875
48,0.8166666666666667
49,0.85
50,0.8416666666666667
51,0.8416666666666667
52,0.8416666666666667
53,0.8666666666666667
54,0.8333333333333334
55,0.8333333333333334
56,0.8083333333333333
57,0.8333333333333334
58,0.8833333333333333
59,0.85
60,0.8333333333333334
61,0.85
62,0.8416666666666667
63,0.8666666666666667
64,0.8416666666666667
65,0.7916666666666666
66,0.8583333333333333
67,0.8416666666666667
68,0.875
69,0.8416666666666667
70,0.85
71,0.8666666666666667
72,0.8416666666666667
73,0.8833333333333333
74,0.8416666666666667
75,0.875
76,0.8583333333333333
77,0.8916666666666667
78,0.8666666666666667
79,0.8583333333333333
80,0.875
81,0.8416666666666667
82,0.8666666666666667
83,0.8583333333333333
84,0.875
85,0.8666666666666667
86,0.875
87,0.8666666666666667
88,0.8833333333333333
89,0.8666666666666667
90,0.8666666666666667
91,0.85
92,0.8583333333333333
93,0.875
94,0.8666666666666667
95,0.9
96,0.8583333333333333
97,0.8583333333333333
98,0.875
99,0.8666666666666667
100,0.8583333333333333
