round,accuracy
1,0.5083333333333333
2,0.7
3,0.7416666666666667
4,0.7333333333333333
5,0.7666666666666667
6,0.7833333333333333
7,0.7416666666666667
8,0.8
9,0.7916666666666666
10,0.8083333333333333
11,0.7916666666666666
12,0.8
13,0.8
14,0.7916666666666666
15,0.825
16,0.8166666666666667
17,0.8
18,0.8083333333333333
19,0.825
20,0.8416666666666667
21,0.8
22,0.8
23,0.8166666666666667
24,0.8
25,0.825
26,0.8416666666666667
27,0.825
28,0.8166666666666667
29,0.7833333333333333
30,0.8333333333333334
31,0.85
32,0.7916666666666666
33,0.8333333333333334
34,0.8333333333333334
35,0.7916666666666666
36,0.8333333333333334
37,0.8166666666666667
38,0.8333333333333334
39,0.8583333333333333
40,0.825
41,0.825
42,0.85
43,0.8083333333333333
44,0.8166666666666667
45,0.8166666666666667
46,0.775
47,0.7916666666666666
48,0.825
49,0.8
50,0.7916666666666666
51,0.825
52,0.825
53,0.8083333333333333
54,0.8416666666666667
55,0.825
56,0.825
57,0.8
58,0.8166666666666667
59,0.825
60,0.8083333333333333
61,0.7916666666666666
62,0.8333333333333334
63,0.8083333333333333
64,0.8333333333333334
65,0.8166666666666667
66,0.85
67,0.8583333333333333
68,0.825
69,0.8333333333333334
70,0.825
71,0.8583333333333333
72,0.8333333333333334
73,0.8416666666666667
74,0.8
75,0.8416666666666667
76,0.8083333333333333
77,0.8583333333333333
78,0.8583333333333333
79,0.8416666666666667
80,0.8583333333333333
81,0.825
82,0.8416666666666667
83,0.8166666666666667
84,0.825
85,0.8416666666666667
86,0.825
87,0.825
88,0.825
89,0.8416666666666667
90,0.8083333333333333
91,0.8416666666666667
92,0.8333333333333334
93,0.8416666666666667
94,0.8333333333333334
95,0.825
96,0.8333333333333334
97,0.85
98,0.85
99,0.85
100,0.85
