round,accuracy
1,0.08
2,0.22
4,0.22
6,0.52
8,0.63
11,0.675
12,0.68
13,0.68
16,0.73
17,0.73
21,0.73
23,0.66
24,0.66
31,0.79
32,0.785
33,0.78
36,0.78
43,0.78
44,0.78
46,0.77
49,0.775
54,0.79
56,0.78
58,0.78
59,0.785
61,0.79
69,0.77
70,0.77
72,0.77
75,0.77
76,0.77
81,0.77
85,0.77
89,0.775
90,0.78
92,0.78
93,0.78
94,0.78
96,0.785
97,0.78
99,0.78
100,0.78
