operation,time
transmission,1.0459363460540771
transmission,0.9304437637329102
transmission,0.9463114738464355
transmission,0.9413063526153564
transmission,0.9879281520843506
transmission,1.1289775371551514
transmission,1.0248899459838867
transmission,1.1241962909698486
transmission,0.9656109809875488
transmission,1.1372406482696533
transmission,0.9667391777038574
transmission,1.233447551727295
transmission,0.9685409069061279
transmission,0.9568393230438232
transmission,0.9606688022613525
transmission,0.9543304443359375
transmission,1.0636415481567383
transmission,0.9702117443084717
transmission,0.9665641784667969
transmission,0.977581262588501
transmission,0.9823198318481445
transmission,1.0783166885375977
transmission,0.9725768566131592
transmission,0.9973938465118408
transmission,1.0227398872375488
transmission,0.9790902137756348
transmission,1.0824713706970215
transmission,0.9631941318511963
transmission,0.9807848930358887
transmission,0.9815146923065186
transmission,0.9968605041503906
transmission,1.0833740234375
transmission,0.9765040874481201
transmission,0.9722251892089844
transmission,1.1518893241882324
transmission,1.010542631149292
transmission,1.05397367477417
transmission,0.9783704280853271
transmission,0.9994106292724609
transmission,0.9730250835418701
transmission,0.973447322845459
transmission,1.0817584991455078
transmission,0.9932332038879395
transmission,0.9734640121459961
transmission,0.9755580425262451
transmission,0.9841911792755127
transmission,1.0833113193511963
transmission,0.993511438369751
transmission,1.0043861865997314
transmission,0.9953885078430176
transmission,0.9835100173950195
transmission,1.1004152297973633
transmission,0.9758701324462891
transmission,0.969963550567627
transmission,0.9544270038604736
transmission,0.969308614730835
transmission,1.2116749286651611
transmission,1.0576045513153076
transmission,1.0650408267974854
transmission,1.0142185688018799
transmission,1.0403501987457275
transmission,1.1729700565338135
transmission,1.0669820308685303
transmission,1.0579266548156738
transmission,1.0273807048797607
transmission,1.0502300262451172
transmission,1.2090864181518555
transmission,1.0121960639953613
transmission,1.026672124862671
transmission,1.0496766567230225
transmission,1.020207405090332
transmission,1.3012194633483887
transmission,1.0903348922729492
transmission,1.0291924476623535
transmission,1.1519107818603516
transmission,1.0599064826965332
transmission,2.7771003246307373
transmission,1.032656192779541
transmission,1.0329020023345947
transmission,1.0693814754486084
transmission,1.034421443939209
transmission,1.1646134853363037
transmission,1.0430495738983154
transmission,1.0421347618103027
transmission,1.055030345916748
transmission,1.0580883026123047
transmission,1.174267292022705
transmission,1.0432968139648438
transmission,1.007171392440796
transmission,1.0368988513946533
transmission,1.050858974456787
transmission,1.1630854606628418
transmission,1.0322492122650146
transmission,1.0215110778808594
transmission,1.0271368026733398
transmission,1.0597631931304932
transmission,1.1657488346099854
transmission,1.0017657279968262
transmission,1.036454677581787
transmission,1.0372838973999023
quantization,0.0013241767883300781
quantization,0.006259918212890625
quantization,0.0060808658599853516
quantization,0.006091117858886719
quantization,0.004639863967895508
quantization,0.010462284088134766
quantization,0.028548240661621094
quantization,0.02312636375427246
quantization,0.02387833595275879
quantization,0.047699689865112305
quantization,0.11589670181274414
quantization,0.11282086372375488
quantization,0.1089634895324707
quantization,0.21480727195739746
quantization,0.43993139266967773
quantization,0.43434882164001465
quantization,0.4402015209197998
quantization,0.006450653076171875
quantization,0.0005221366882324219
quantization,0.0007882118225097656
quantization,0.004831552505493164
quantization,0.004878520965576172
quantization,0.0044176578521728516
quantization,0.004456758499145508
quantization,0.009395837783813477
quantization,0.022922754287719727
quantization,0.020630836486816406
quantization,0.02030467987060547
quantization,0.04647517204284668
quantization,0.09447526931762695
quantization,0.10519814491271973
quantization,0.09474611282348633
