operation,round,time
train,1,412.50320315361023
train,2,414.2470452785492
train,3,410.7602710723877
train,4,418.92175364494324
train,5,410.3189833164215
train,6,414.91149854660034
train,7,412.76672077178955
train,8,410.8933279514313
train,9,416.9872786998749
train,10,408.453994512558
train,11,408.49533224105835
train,12,411.9144239425659
train,13,414.7532546520233
train,14,418.9502685070038
train,15,411.6453733444214
train,16,408.40803384780884
train,17,411.1200454235077
train,18,414.3561968803406
train,19,419.5212984085083
train,20,412.84632682800293
train,21,410.7011342048645
train,22,412.1142225265503
train,23,419.58303904533386
train,24,411.10797476768494
train,25,413.5760021209717
train,26,409.18671226501465
train,27,410.9362802505493
train,28,419.6046016216278
train,29,412.63704109191895
train,30,406.85029315948486
train,31,410.850781917572
train,32,411.201131105423
train,33,415.18955731391907
train,34,417.0991311073303
train,35,416.86792278289795
train,36,409.4998445510864
train,37,417.45184993743896
train,38,414.43557262420654
train,39,414.23815631866455
train,40,413.09888911247253
train,41,409.81708121299744
train,42,419.42525458335876
train,43,412.6686038970947
train,44,412.8576741218567
train,45,414.6910481452942
