round,accuracy
1,0.13
2,0.08
3,0.21
4,0.26
5,0.19
6,0.19
7,0.18
8,0.25
9,0.19
10,0.31
11,0.36
12,0.33
13,0.31
14,0.2
15,0.21
16,0.34
17,0.31
18,0.28
19,0.24
20,0.31
21,0.12
22,0.06
23,0.2
24,0.11
25,0.38
26,0.35
27,0.2
28,0.35
29,0.22
30,0.15
31,0.28
32,0.25
33,0.16
34,0.24
35,0.26
36,0.27
37,0.32
38,0.14
39,0.2
40,0.11
41,0.19
42,0.15
43,0.18
44,0.06
45,0.12
46,0.18
47,0.17
48,0.26
49,0.22
50,0.14
51,0.2
52,0.27
53,0.23
54,0.27
55,0.16
56,0.06
57,0.13
58,0.22
59,0.27
60,0.27
61,0.21
62,0.2
63,0.09
64,0.23
65,0.1
66,0.27
67,0.1
68,0.1
69,0.08
70,0.08
71,0.1
72,0.3
73,0.23
74,0.21
75,0.22
76,0.35
77,0.19
78,0.27
79,0.34
80,0.15
81,0.19
82,0.28
83,0.29
84,0.32
85,0.18
86,0.18
87,0.22
88,0.12
89,0.16
90,0.18
91,0.25
92,0.19
93,0.19
94,0.16
95,0.19
96,0.2
97,0.1
98,0.19
99,0.18
100,0.18
