round,accuracy
1,0.1
2,0.13
3,0.16
4,0.18
5,0.21
6,0.23
7,0.19
8,0.26
9,0.1
10,0.3
11,0.27
12,0.25
13,0.22
14,0.17
15,0.26
16,0.27
17,0.29
18,0.29
19,0.24
20,0.26
21,0.13
22,0.07
23,0.19
24,0.12
25,0.37
26,0.3
27,0.29
28,0.27
29,0.21
30,0.18
31,0.16
32,0.21
33,0.15
34,0.37
35,0.34
36,0.21
37,0.41
38,0.12
39,0.22
40,0.15
41,0.2
42,0.14
43,0.11
44,0.07
45,0.11
46,0.13
47,0.17
48,0.25
49,0.29
50,0.13
51,0.15
52,0.24
53,0.28
54,0.28
55,0.18
56,0.07
57,0.13
58,0.19
59,0.23
60,0.23
61,0.2
62,0.18
63,0.06
64,0.13
65,0.11
66,0.34
67,0.08
68,0.08
69,0.09
70,0.13
71,0.15
72,0.25
73,0.27
74,0.17
75,0.18
76,0.31
77,0.21
78,0.24
79,0.33
80,0.14
81,0.2
82,0.31
83,0.29
84,0.22
85,0.17
86,0.17
87,0.18
88,0.1
89,0.16
90,0.15
91,0.19
92,0.17
93,0.17
94,0.16
95,0.16
96,0.17
97,0.09
98,0.15
99,0.17
100,0.18
