operation,round,time
train,1,9.611881256103516
train,2,4.011380434036255
train,3,2.5490541458129883
train,4,3.3337485790252686
train,5,3.702026605606079
train,6,4.011576175689697
train,7,3.9519495964050293
train,8,2.9915785789489746
train,9,3.832716464996338
train,10,3.9005794525146484
train,11,3.79162335395813
train,12,3.770583391189575
train,13,3.7405846118927
train,14,3.813119649887085
train,15,3.9159140586853027
train,16,3.0084547996520996
train,17,3.80948805809021
train,18,3.6698219776153564
train,19,3.745619297027588
train,20,3.837682008743286
train,21,3.333425521850586
train,22,3.6866390705108643
train,23,4.2354724407196045
train,24,3.611396551132202
train,25,3.929349184036255
train,26,3.667590379714966
train,27,3.199894666671753
train,28,3.9611730575561523
train,29,3.2427072525024414
train,30,3.822329521179199
train,31,2.2320923805236816
train,32,3.3486034870147705
train,33,4.003644227981567
train,34,3.891986131668091
train,35,3.4362688064575195
train,36,3.3600895404815674
train,37,3.990224838256836
train,38,4.028313875198364
train,39,3.8364224433898926
train,40,2.659686326980591
train,41,3.946303606033325
train,42,3.7132465839385986
train,43,3.2390618324279785
train,44,1.8391025066375732
train,45,4.019871711730957
train,46,4.0796825885772705
train,47,1.9557952880859375
train,48,3.8888535499572754
train,49,3.7178151607513428
train,50,3.5850470066070557
train,51,4.003355264663696
train,52,3.586825370788574
train,53,3.822883367538452
train,54,3.9384262561798096
train,55,3.865255117416382
train,56,3.6660873889923096
train,57,3.61354660987854
train,58,3.4431777000427246
train,59,3.5391881465911865
train,60,3.7056398391723633
train,61,3.8933804035186768
train,62,3.590471029281616
train,63,4.179216623306274
train,64,3.943357229232788
train,65,3.9866697788238525
train,66,3.7764101028442383
train,67,3.732511043548584
train,68,3.607980489730835
train,69,4.148539781570435
train,70,2.759178638458252
train,71,3.6744887828826904
train,72,3.3753299713134766
train,73,4.08136248588562
train,74,3.4615447521209717
train,75,3.699084997177124
train,76,3.909435749053955
train,77,3.2898473739624023
train,78,4.0882227420806885
train,79,3.8093113899230957
train,80,3.0923829078674316
train,81,2.008880376815796
train,82,3.606670618057251
train,83,3.6421256065368652
train,84,3.910794496536255
train,85,4.3584911823272705
train,86,3.9427289962768555
train,87,3.785118341445923
train,88,4.1578333377838135
train,89,3.6984949111938477
train,90,4.043210744857788
train,91,4.1123387813568115
train,92,3.8600471019744873
train,93,3.1353485584259033
train,94,3.890082359313965
train,95,3.8747572898864746
train,96,3.481192111968994
train,97,3.847644567489624
train,98,2.6350505352020264
train,99,4.152340650558472
train,100,4.0577545166015625
evaluate,1,0.5192098617553711
evaluate,2,0.061020612716674805
evaluate,3,0.06687784194946289
evaluate,4,0.07764983177185059
evaluate,5,0.05832862854003906
evaluate,6,0.09656214714050293
evaluate,7,0.05833792686462402
evaluate,8,0.08984684944152832
evaluate,9,0.03954720497131348
evaluate,10,0.0644831657409668
evaluate,11,0.15469646453857422
evaluate,12,0.061905860900878906
evaluate,13,0.07849597930908203
evaluate,14,0.0828864574432373
evaluate,15,0.05221676826477051
evaluate,16,0.0623931884765625
evaluate,17,0.019977331161499023
evaluate,18,0.07810640335083008
evaluate,19,0.08435726165771484
evaluate,20,0.07971596717834473
evaluate,21,0.04619240760803223
evaluate,22,0.03830575942993164
evaluate,23,0.07248330116271973
evaluate,24,0.075103759765625
evaluate,25,0.10202765464782715
evaluate,26,0.06826472282409668
evaluate,27,0.0652303695678711
evaluate,28,0.08118319511413574
evaluate,29,0.08051013946533203
evaluate,30,0.06441235542297363
evaluate,31,0.04099678993225098
evaluate,32,0.08602666854858398
evaluate,33,0.054270029067993164
