round,accuracy
1,0.2
2,0.16
3,0.08
4,0.17
5,0.15
6,0.15
7,0.17
8,0.25
9,0.12
10,0.29
11,0.34
12,0.2
13,0.21
14,0.13
15,0.16
16,0.3
17,0.22
18,0.23
19,0.24
20,0.31
21,0.17
22,0.08
23,0.2
24,0.07
25,0.39
26,0.24
27,0.16
28,0.3
29,0.15
30,0.09
31,0.17
32,0.19
33,0.15
34,0.28
35,0.29
36,0.23
37,0.29
38,0.08
39,0.13
40,0.17
41,0.13
42,0.14
43,0.22
44,0.08
45,0.1
46,0.22
47,0.17
48,0.2
49,0.14
50,0.13
51,0.23
52,0.33
53,0.18
54,0.28
55,0.09
56,0.09
57,0.13
58,0.23
59,0.15
60,0.24
61,0.22
62,0.11
63,0.16
64,0.13
65,0.04
66,0.31
67,0.08
68,0.08
69,0.1
70,0.12
71,0.11
72,0.21
73,0.18
74,0.14
75,0.17
76,0.23
77,0.14
78,0.13
79,0.19
80,0.1
81,0.1
82,0.2
83,0.19
84,0.17
85,0.1
86,0.1
87,0.09
88,0.08
89,0.09
90,0.11
91,0.16
92,0.1
93,0.12
94,0.08
95,0.12
96,0.12
97,0.08
98,0.11
99,0.1
100,0.12
