round,accuracy
1,0.13
2,0.12
3,0.19
4,0.18
5,0.21
6,0.26
7,0.12
8,0.2
9,0.14
10,0.24
11,0.19
12,0.3
13,0.21
14,0.2
15,0.18
16,0.33
17,0.28
18,0.3
19,0.23
20,0.22
21,0.2
22,0.06
23,0.27
24,0.15
25,0.33
26,0.24
27,0.2
28,0.19
29,0.27
30,0.22
31,0.22
32,0.17
33,0.22
34,0.2
35,0.33
36,0.21
37,0.34
38,0.1
39,0.26
40,0.1
41,0.1
42,0.18
43,0.18
44,0.06
45,0.17
46,0.18
47,0.15
48,0.23
49,0.29
50,0.18
51,0.12
52,0.25
53,0.18
54,0.31
55,0.23
56,0.07
57,0.12
58,0.24
59,0.23
60,0.26
61,0.17
62,0.22
63,0.09
64,0.17
65,0.11
66,0.3
67,0.15
68,0.15
69,0.1
70,0.05
71,0.17
72,0.27
73,0.3
74,0.2
75,0.12
76,0.28
77,0.17
78,0.2
79,0.28
80,0.24
81,0.25
82,0.26
83,0.24
84,0.26
85,0.18
86,0.21
87,0.27
88,0.19
89,0.2
90,0.24
91,0.24
92,0.22
93,0.23
94,0.2
95,0.25
96,0.22
97,0.15
98,0.22
99,0.25
100,0.24
