round,accuracy
1,0.16
2,0.08
3,0.21
4,0.28
5,0.24
6,0.19
7,0.22
8,0.25
9,0.14
10,0.32
11,0.25
12,0.27
13,0.3
14,0.22
15,0.25
16,0.34
17,0.25
18,0.35
19,0.31
20,0.24
21,0.12
22,0.06
23,0.26
24,0.16
25,0.41
26,0.31
27,0.17
28,0.38
29,0.25
30,0.23
31,0.34
32,0.28
33,0.15
34,0.25
35,0.35
36,0.24
37,0.35
38,0.13
39,0.21
40,0.13
41,0.25
42,0.26
43,0.17
44,0.06
45,0.14
46,0.25
47,0.16
48,0.18
49,0.35
50,0.1
51,0.24
52,0.28
53,0.29
54,0.27
55,0.2
56,0.06
57,0.13
58,0.25
59,0.29
60,0.25
61,0.29
62,0.22
63,0.11
64,0.18
65,0.16
66,0.35
67,0.08
68,0.08
69,0.08
70,0.1
71,0.11
72,0.22
73,0.24
74,0.18
75,0.16
76,0.32
77,0.21
78,0.26
79,0.34
80,0.21
81,0.25
82,0.28
83,0.31
84,0.27
85,0.21
86,0.23
87,0.22
88,0.12
89,0.18
90,0.24
91,0.27
92,0.21
93,0.23
94,0.21
95,0.24
96,0.23
97,0.08
98,0.23
99,0.23
100,0.23
