round,accuracy
1,0.14
2,0.1
3,0.18
4,0.18
5,0.16
6,0.16
7,0.18
8,0.25
9,0.08
10,0.27
11,0.22
12,0.31
13,0.3
14,0.15
15,0.21
16,0.2
17,0.22
18,0.37
19,0.28
20,0.26
21,0.16
22,0.1
23,0.21
24,0.13
25,0.3
26,0.17
27,0.17
28,0.31
29,0.21
30,0.22
31,0.27
32,0.2
33,0.2
34,0.25
35,0.33
36,0.23
37,0.37
38,0.18
39,0.2
40,0.06
41,0.17
42,0.17
43,0.18
44,0.1
45,0.12
46,0.15
47,0.12
48,0.21
49,0.3
50,0.13
51,0.12
52,0.24
53,0.2
54,0.21
55,0.18
56,0.1
57,0.16
58,0.19
59,0.29
60,0.2
61,0.26
62,0.17
63,0.11
64,0.2
65,0.13
66,0.36
67,0.08
68,0.08
69,0.1
70,0.04
71,0.13
72,0.24
73,0.27
74,0.16
75,0.18
76,0.34
77,0.16
78,0.26
79,0.34
80,0.19
81,0.22
82,0.32
83,0.26
84,0.26
85,0.14
86,0.2
87,0.22
88,0.12
89,0.2
90,0.22
91,0.21
92,0.19
93,0.21
94,0.17
95,0.21
96,0.2
97,0.09
98,0.17
99,0.21
100,0.21
