round,accuracy
1,0.13
2,0.11
3,0.1
4,0.12
5,0.12
6,0.19
7,0.16
8,0.25
9,0.12
10,0.21
11,0.28
12,0.37
13,0.17
14,0.22
15,0.2
16,0.28
17,0.21
18,0.28
19,0.27
20,0.29
21,0.13
22,0.13
23,0.15
24,0.05
25,0.35
26,0.27
27,0.23
28,0.33
29,0.2
30,0.14
31,0.13
32,0.22
33,0.2
34,0.29
35,0.17
36,0.15
37,0.33
38,0.09
39,0.17
40,0.16
41,0.19
42,0.06
43,0.18
44,0.14
45,0.14
46,0.2
47,0.23
48,0.33
49,0.25
50,0.17
51,0.17
52,0.27
53,0.25
54,0.23
55,0.11
56,0.13
57,0.17
58,0.11
59,0.1
60,0.19
61,0.15
62,0.13
63,0.07
64,0.12
65,0.03
66,0.31
67,0.11
68,0.11
69,0.14
70,0.13
71,0.16
72,0.31
73,0.32
74,0.15
75,0.21
76,0.27
77,0.21
78,0.22
79,0.26
80,0.13
81,0.17
82,0.3
83,0.22
84,0.18
85,0.12
86,0.12
87,0.14
88,0.12
89,0.15
90,0.13
91,0.21
92,0.13
93,0.13
94,0.1
95,0.15
96,0.13
97,0.12
98,0.13
99,0.14
100,0.14
