operation,round,time
train,1,412.67555594444275
train,2,407.28894782066345
train,3,409.3196310997009
train,4,413.2221488952637
train,5,409.088898897171
train,6,415.68788838386536
train,7,405.4862928390503
train,8,415.8624939918518
train,9,412.8430669307709
train,10,410.7797107696533
train,11,407.26507663726807
train,12,413.0120542049408
train,13,417.5673716068268
train,14,407.4250898361206
train,15,415.2905185222626
train,16,408.98807191848755
train,17,417.70867371559143
train,18,415.0756821632385
train,19,417.3589587211609
train,20,411.9659562110901
train,21,407.85029125213623
train,22,406.5212867259979
train,23,411.282883644104
train,24,420.69431018829346
train,25,406.89590311050415
train,26,411.2957091331482
train,27,415.9547219276428
train,28,416.1367268562317
train,29,409.251371383667
train,30,407.9975845813751
train,31,414.2628917694092
train,32,413.0790617465973
train,33,408.4051079750061
train,34,415.79608249664307
train,35,409.98550510406494
train,36,413.83290362358093
train,37,408.3288290500641
train,38,404.7172131538391
train,39,403.89664578437805
train,40,407.26120829582214
train,41,416.3143193721771
train,42,408.2278654575348
