round,accuracy
1,0.14
2,0.08
3,0.18
4,0.18
5,0.13
6,0.17
7,0.18
8,0.27
9,0.14
10,0.39
11,0.3
12,0.38
13,0.23
14,0.21
15,0.23
16,0.32
17,0.2
18,0.23
19,0.35
20,0.25
21,0.15
22,0.1
23,0.21
24,0.14
25,0.42
26,0.27
27,0.22
28,0.3
29,0.2
30,0.19
31,0.23
32,0.2
33,0.22
34,0.29
35,0.29
36,0.19
37,0.34
38,0.1
39,0.21
40,0.16
41,0.13
42,0.16
43,0.25
44,0.1
45,0.12
46,0.24
47,0.2
48,0.21
49,0.22
50,0.14
51,0.2
52,0.23
53,0.26
54,0.21
55,0.15
56,0.1
57,0.13
58,0.26
59,0.18
60,0.22
61,0.29
62,0.2
63,0.14
64,0.15
65,0.09
66,0.35
67,0.1
68,0.1
69,0.13
70,0.09
71,0.16
72,0.26
73,0.3
74,0.16
75,0.25
76,0.38
77,0.16
78,0.23
79,0.26
80,0.15
81,0.2
82,0.27
83,0.26
84,0.27
85,0.16
86,0.19
87,0.2
88,0.13
89,0.15
90,0.18
91,0.21
92,0.17
93,0.18
94,0.16
95,0.19
96,0.18
97,0.1
98,0.18
99,0.19
100,0.18
