round,accuracy
1,0.12
2,0.09
3,0.2
4,0.15
5,0.21
6,0.19
7,0.12
8,0.18
9,0.16
10,0.29
11,0.31
12,0.3
13,0.22
14,0.24
15,0.2
16,0.26
17,0.25
18,0.36
19,0.26
20,0.22
21,0.18
22,0.09
23,0.24
24,0.16
25,0.38
26,0.23
27,0.19
28,0.27
29,0.19
30,0.2
31,0.2
32,0.23
33,0.18
34,0.21
35,0.24
36,0.19
37,0.28
38,0.06
39,0.19
40,0.08
41,0.14
42,0.16
43,0.19
44,0.09
45,0.18
46,0.29
47,0.16
48,0.17
49,0.31
50,0.17
51,0.18
52,0.25
53,0.18
54,0.23
55,0.22
56,0.1
57,0.15
58,0.29
59,0.2
60,0.18
61,0.25
62,0.21
63,0.1
64,0.13
65,0.13
66,0.38
67,0.14
68,0.14
69,0.11
70,0.05
71,0.18
72,0.24
73,0.34
74,0.17
75,0.2
76,0.36
77,0.17
78,0.3
79,0.27
80,0.22
81,0.25
82,0.34
83,0.26
84,0.29
85,0.21
86,0.24
87,0.24
88,0.17
89,0.22
90,0.26
91,0.26
92,0.23
93,0.25
94,0.19
95,0.25
96,0.24
97,0.14
98,0.23
99,0.24
100,0.25
