Bits,Original,sigma,block,naive
2,48.93,20.95,3.93,1.0
3,48.93,46.52,40.21,19.36
4,48.93,47.87,48.13,44.33
5,48.93,49.13,49.05,47.29
6,48.93,48.47,49.07,48.76
7,48.93,48.99,49.28,48.66
8,48.93,49.03,48.97,48.46
